,TaskPit,ブラウザ,メール,プログラミング,デバッグ(.NET),テキスト閲覧・編集,プレゼン編集,データ分析,デスクトップ,ファイル操作,登録外
2016年11月16日16時30分,0,0,0,297,0,0,0,0,0,0,0
2016年11月16日16時35分,0,0,0,114,0,0,0,0,0,0,177
2016年11月16日16時40分,0,0,0,0,0,0,0,0,0,0,299
2016年11月16日16時45分,0,0,0,0,0,0,0,0,0,0,207
2016年11月16日16時50分,0,208,0,0,0,0,0,0,0,0,79
2016年11月16日16時55分,0,35,0,3,0,0,0,0,0,1,248
2016年11月16日17時00分,0,272,0,0,0,0,0,0,0,0,18
2016年11月16日17時05分,0,109,0,0,0,0,0,0,186,0,0
2016年11月16日17時10分,0,300,0,0,0,0,0,0,0,0,0
2016年11月16日17時15分,0,299,0,0,0,0,0,0,0,0,1
2016年11月16日17時20分,0,179,0,0,0,0,0,0,0,0,0
2016年11月16日17時25分,0,0,0,0,0,0,0,0,0,0,0
2016年11月16日17時30分,0,0,0,0,0,0,0,0,0,0,0
2016年11月16日17時35分,0,179,0,0,0,0,0,0,0,0,15
2016年11月16日17時40分,0,105,0,0,0,0,0,0,0,0,184
2016年11月16日17時45分,0,0,0,0,0,0,0,0,0,0,299
2016年11月16日17時50分,0,0,0,0,0,0,0,0,0,0,226
2016年11月16日17時55分,0,186,0,0,0,0,0,0,0,0,11
2016年11月16日18時00分,0,105,0,9,0,0,0,0,0,0,188
2016年11月16日18時05分,0,3,0,291,0,0,0,0,0,0,2
2016年11月16日18時10分,0,0,0,172,0,0,0,0,0,0,111
